lokacija,naziv_gc,tip_zdenca,status_odrz,aktivan_da_ne,teren_dane,vlasnik_ki,odrzava_ki,zkc_oznaka,broj_vodomjera,napomena_teren,pozicija_tocnost,lon,lat
Britanski trg,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",CENTAR 1321,5359811385,sjeverno od javnog WC-a,GNSS,15.9648762099405,45.8127489060025
Britanski trg kod kbr.3,Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",CENTAR 1321,53226703067,preko puta kbr 3 Britanski trg,GNSS,15.9646075599351,45.8130087320327
"Park Ribnjak-sjever, kod kbr. 44",Gornji grad - Medveščak,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB neusklađeno,2463902,izvorno SKI lokacija,GNSS,15.9799902557234,45.817800368029
"Trg Josipa Jurja Strossmayera, park",Donji grad,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",CENTAR NOVI 2494/1,2463906,jugoistočno od Strossmayerovog kipa,GNSS,15.9787781177477,45.8083910878058
"Trg kralja Tomislava, središnji ulaz u park",Donji grad,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",CENTAR NOVI 2491,2463945,"istočna strana Tomislavovog trga, uz središnji ulaz u park ",GNSS,15.9791262464878,45.8062177967157
Trg kralja Petra Krešimira IV kod kbr. 14,Donji grad,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",CENTAR NOVI 7017,2570485,"Trg kralja Petra Krešimira IV kod kbr 14, južni dio parka k(Kraljice Jelene)",GNSS,15.9898020584852,45.8072128568808
"Avenija Većeslava Holjevca, kod raskrižja ulica Trnjanske ledine II i III",Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TRNJE D 5673,018H761440,raskrižje ulica Trnjanske Ledine II i III,GNSS,15.978853278151,45.793235575586
Bednjanska kod kbr. 13,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TRNJE 5506/1,2247974,uz istocnu ogradu kbr 13 (Bednjanska ulica),GNSS,15.9729793891764,45.8028110274557
Koranska kod kbr. 26,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TRNJE 5513/1,291420,kucni broj 28-26 Koranska ulica ,GNSS,15.9676265670713,45.8006156773045
Prisavlje - kod kbr. 12,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB 4189/3,2478164,"uz nasip, juzno od parkiralista (jugoistocno od nebodera kbr 12 Prisavlje)",GNSS,15.9663742455045,45.7895942402791
Prisavlje - uz ogradu gradskih vrtova,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TRNJE 5439/6,2463939,uz jugostočni rub ograde gradskih vrtova,GNSS,15.9990504686487,45.7886087196558
Prisavlje uz nasip (Boćarski dom -dječje igralište),Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",GRAD ZAGREB 4189/3,2521412,sjeverozapadni ulaz u dječji park ,GNSS,15.9623321836134,45.7893084554774
Veslačka - uz stepenice prema nasipu,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TRNJE 5647/3,2463941,Veslačka uz stepenice prema nasipu,GNSS,15.9563789287343,45.7867088311897
Vrbanjska kod kbr. 3,Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TRNJE 1400/1,2305149,uz zapadnu ogradu kbr 3 (Vrbanjska ulica),GNSS,15.9797463326101,45.7966068778458
"Zrmanjska, križanje s Ličkom ulicom",Trnje,Viktorija zdenac,u funkciji,DA,uređena lokacija,GRAD ZAGREB,"Gradski ured za obnovu, izgradnju, prostorno uređenje, graditeljstvo i komunalne poslove",TRNJE 5533,2292389,"križanje Zrmanjske i Ličke ulice, ispred kbr 40 Lička ",GNSS,15.9750239682075,45.7950696676288
